cust_id,first_name,last_name,name,company_name,address_1,address_2,city,country,state,zip,phone1,phone2,email,web
1001,James,Butt,,"Benton,        John ",6649 N Blue Gum St$$,,New Orleans,Orleans,LA,70116,504-621-8927,504-845-1427,jbutt@gmail.com,http://www.bentonjohnbjr.com
1002,Josephine,Darakjy,,"Chanay, Jeffrey A Esq         ",4 B Blue Ridge Blvd,,Brighton,Livingston,MI,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com
1003,Art,Venere,,"Chemel, James L Cpa",8 W Cerritos Ave #54,,Bridgeport,Gloucester,NJ476,8014,856-636-8749,856-264-4130,art@venere.org,http://www.chemeljameslcpa.com
1004,Lenna,Paprocki,,Feltz Printing Service,639 Main St$$,,Anchorage,Anchorage,AK,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com,http://www.feltzprintingservice.com
1005,Donette,Foller,,Printing Dimensions,34 Center St,,Hamilton,Butler,OH,45011,513-570-1893,513-549-4561,donette.foller@cox.net,http://www.printingdimensions.com
1006,Simona,Morasca,,"Chapman, Ross E Esq",3 Mcauley Dr,,Ashland,Ashland,OH,44805,419-503-2484,419-800-6759,simona@morasca.com,http://www.chapmanrosseesq.com
1007,Mitsue,Tollner,,,7 Eads St,,Chicago,Cook,IL,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,http://www.morlongassociates.com
1008,Leota,Dilliard,,Commercial Press,7 W Jackson Blvd,,San Jose,Santa Clara,CA,95111,408-752-3500,408-813-1105,leota@hotmail.com,http://www.commercialpress.com
1009,Sage,Wieser,,Truhlar And Truhlar Attys,5 Boston Ave #88,,Sioux Falls,Minnehaha,SD,57105,605-414-2147,605-794-4895,sage_wieser@cox.net,http://www.truhlarandtruhlarattys.com
1010,Kris,Marrier,,"King, Christopher A Esq      ",228 Runamuck Pl #2808,,Baltimore,Baltimore City,MD,21224,410-655-8723,410-804-4694,kris@gmail.com,http://www.kingchristopheraesq.com
1011,Minna,Amigon,,"Dorl, James J Esq",2371 Jerrold Ave,,Kulpsville,Montgomery,PA,19443,215-874-1229,215-422-8694,minna_amigon@yahoo.com,http://www.dorljamesjesq.com
1012,Abel,Maclead,,Rangoni Of Florence,37275 St  Rt 17m M,,Middle Island,Suffolk,NY,11953,631-335-3414,631-677-3675,amaclead@gmail.com,http://www.rangoniofflorence.com
1013,Kiley,Caldarera,,,25 E 75th St #69,,Los Angeles,Los Angeles,CA,90034,310-498-5651,310-254-3084,kiley.caldarera@aol.com,http://www.feinerbros.com
1014,Graciela,Ruta,,Buckley Miller & Wright,98 Connecticut Ave Nw,,Chagrin Falls,Geauga,OH,44023,440-780-84,440-579-7763,gruta@cox.net,http://www.buckleymillerwright.com
1015,Cammy,Albares,,"Rousseaux, Michael Esq         ",56 E Morehead St,,Laredo,Webb,TX,78045,956-537-6195,956-841-7216,calbares@gmail.com,http://www.rousseauxmichaelesq.com
1016,Mattie,Poquette,,Century Communications,73 State Road 434 E,,Phoenix,Maricopa,AZ,85013,602-277-4385,602-953-6360,mattie@aol.com,http://www.centurycommunications.com
1017,Meaghan,Garufi,,"Bolton, Wilbur Esq",69734 E Carrillo St,,Mc Minnville,Warren,TN,37110,931-313-9635,931-235-7959,meaghan@hotmail.com,http://www.boltonwilburesq.com
1018,Gladys,Rim,,T M Byxbee Company Pc,322 New Horizon Blvd,,Milwaukee,Milwaukee,WI,53207,414-661-9598,414-377-2880,gladys.rim@rim.org,http://www.tmbyxbeecompanypc.com
1019,Yuki,Whobrey,,Farmers Insurance Group,1 State Route 27,,Taylor,Wayne,MI,48180,313-288-7937,313-341-4470,yuki_whobrey@aol.com,http://www.farmersinsurancegroup.com
1020,Fletcher,Flosi,,Post Box Services Plus,394 Manchester Blvd,,Rockford,Winnebago,IL,61109,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,http://www.postboxservicesplus.com
1021,Bette,Nicka,,,6 S 33rd St,,Aston,Delaware,PA,19014,610-545-3615,610-492-4643,bette_nicka@cox.net,http://www.sportenart.com
1022,Veronika,Inouye,,C 4 Network Inc,6 Greenleaf Ave,,San Jose,Santa Clara,CA,95111,408-540-1785,408-813-4592,vinouye@aol.com,http://www.cnetworkinc.com
1023,Willard,Kolmetz,,"Ingalls, Donald R Esq",618 W Yakima Ave,,Irving,Dallas,TX,75062,972-303-9197,972-896-4882,willard@hotmail.com,http://www.ingallsdonaldresq.com
1024,Maryann,Royster,,,74 S Westgate St,,Albany,Albany,NY,12204,518-966-7987,518-448-8982,mroyster@royster.com,http://www.franklinpeterlesq.com
1025,Alisha,Slusarski,,Wtlz Power 107 Fm,3273 State St,,Middlesex,Middlesex,NJ,8846,732-658-3154,732-635-3453,alisha@slusarski.com,http://www.wtlzpowerfm.com
1026,Allene,Iturbide,,"Ledecky, David Esq",1 Central Ave,,Stevens Point,Portage,WI,54481,715-662-6764,715-530-9863,allene_iturbide@cox.net,http://www.ledeckydavidesq.com
1027,Chanel,Caudy,,Professional Image Inc,86 Nw 66th St #8673,,Shawnee,Johnson,KS,66218,913-388-2079,913-899-1103,chanel.caudy@caudy.org,http://www.professionalimageinc.com
1028,Ezekiel,Chui,,,2 Cedar Ave #84,,Easton,Talbot,MD,21601,410-669-1642,410-235-8738,ezekiel@chui.com,http://www.siderdonaldcesq.com
1029,Willow,Kusko,,U Pull It,90991 Thorburn Ave$$,,New York,New York,NY,10011,212-582-4976,212-934-5167,wkusko@yahoo.com,http://www.upullit.com
1030,Bernardo,Figeroa,,,386 9th Ave N,,Conroe,Montgomery,TX,77301,936-336-3951,936-597-3614,bfigeroa@aol.com,http://www.clarkrichardcpa.com
