cust_id1,first_name1,last_name1,zip,phone1,country,state
1001,James,Butt,70116,504-621-8927,Orleans,LA
1002,Josephine,Darakjy,48116,810-292-9388,Livingston,MI
1003,Art,Venere,8014,856-636-8749,Gloucester,NJ476
1004,Lenna,Paprocki,99501,907-385-4412,Anchorage,AK
1005,Donette,Foller,45011,513-570-1893,Butler,OH
1006,Simona,Morasca,44805,419-503-2484,Ashland,OH
1007,Mitsue,Tollner,60632,773-573-6914,Cook,IL
1008,Leota,Dilliard,95111,408-752-3500,Santa Clara,CA
1009,wake,up,57105,605-414-2147,Minnehaha,SD
1010,Kris,Marrier,21224,410-655-8723,Baltimore City,MD
1011,Minna,Amigon,19443,215-874-1229,Montgomery,PA
1012,Abel,Maclead,11953,631-335-3414,Suffolk,NY
1013,Kiley,Caldarera,90034,310-498-5651,Los Angeles,CA
1014,Graciela,Ruta,44023,440-780-84,Geauga,OH
1015,Cammy,Albares,78045,956-537-6195,Webb,TX
1016,Mattie,Poquette,85013,602-277-4385,Maricopa,AZ
1017,Meaghan,Garufi,37110,931-313-9635,Warren,TN
1018,Gladys,Rim,53207,414-661-9598,Milwaukee,WI
1019,Yu,wangee,48180,313-288-7937,Wayne,MI
1020,Fletcher,Flosi,61109,815-828-2147,Winnebago,IL
1021,Bette,Nicka,19014,610-545-3615,Delaware,PA
1022,Veronika,Inouye,95111,408-540-1785,Santa Clara,CA
1023,Willard,Kolmetz,75062,972-303-9197,Dallas,TX
1024,Maryann,Royster,12204,518-966-7987,Albany,NY
1025,Alisha,Slusarski,8846,732-658-3154,Middlesex,NJ
1026,Allene,Iturbide,54481,715-662-6764,Portage,WI
1027,Chanel,Caudy,66218,913-388-2079,Johnson,KS
1028,Ezekiel,Chui,21601,410-669-1642,Talbot,MD
1029,Willow,Kusko,12345,212-582-4976,New York,NY
1030,Bernardo,Figeroa,77301,936-336-3951,Montgomery,TX
1031,Ammie,Corrio,43215,614-801-9788,Franklin,OH
1032,Francine,Vocelka,88011,505-977-3911,Dona Ana,NM
1033,Ernie,Stenseth,7660,201-709-6245,Bergen,NJ
1034,Albina,Glick,8812,732-924-7882,Middlesex,NJ
1035,Alishia,Sergi,10025,212-860-1579,New York,NY
1036,Solange,Shinko,70002,504-979-9175,Jefferson,LA
1037,Jose,Stockham,10011,212-675-8570,New York,NY
1038,Rozella,Ostrosky,93012,805-832-63,Ventura,CA
1039,Valentine,day,78204,555-434-353,Bexar,TX
1040,Kati,Rulapaugh,67410,785-463-7829,Dickinson,KS
1041,Youlanda,Schemmer,97754,541-548-8197,Crook,OR
1042,Dyan,Oldroyd,66204,913-413-4604,Johnson,KS
1043,Roxane,Campain,99708,907-231-4722,Fairbanks North Star,AK
1044,Lavera,Perin,33196,305-606-7291,Miami-Dade,FL
1045,Erick,Ferencz,99712,907-741-1044,Fairbanks North Star,AK
1046,Fatima,Saylors,55343,952-768-2416,Hennepin,MN
1047,Jina,Briddick,2128,617-399-5124,Suffolk,MA
1048,Kanisha,Waycott,90006,323-453-2780,Los Angeles,CA
1049,Erick,hanshen,53711,608-336-7777,Dane,WI
1050,Blair,Malet,19132,215-907-9111,Philadelphia,PA
1051,Brock,Bolognia,10003,212-402-9216,New York,NY
1052,Lorrie,Nestle,37388,931-875-6644,Coffee,TN
1053,Sabra,Uyetake,29201,803-925-5213,Richland,SC
1054,Marjory,Mastella,19087,610-814-5533,Delaware,PA
1055,Karl,Klonowski,8822,908-877-6135,Hunterdon,NJ
1056,Tonette,Wenner,11590,516-968-6051,Nassau,NY
1057,Amber,Monarrez,19046,215-934-8655,Montgomery,PA
1058,Shenika,Seewald,91405,818-423-4007,Los Angeles,CA
1059,ashutosh,Ahle,2909,401-458-27,Providence,RI
1060,Deeanna,Juhas,19006,215-211-9589,Montgomery,PA
1061,Blondell,Pugh,2904,401-960-8259,Providence,RI
1062,Jamal,Vanausdal,8831,732-234-1546,Middlesex,NJ
1063,Cecily,Hollack,78731,512-486-3817,Travis,TX
1064,Carmelina,Lindall,80126,303-724-7371,Douglas,CO
1065,Maurine,Yglesias,53214,414-748-1374,Milwaukee,WI
1066,Tawna,Buvens,10009,212-674-9610,New York,NY
1067,Penney,Weight,99515,907-797-9628,Anchorage,AK
1068,Elly,Morocco,16502,814-393-5571,Erie,PA
1069,himanshu,mohanty,21061,410-914-9018,Anne Arundel,MD
1070,Vallie,Mondella,83707,208-862-5339,Ada,ID
1071,Kallie,Blackwood,94104,415-315-2761,San Francisco,CA
1072,Johnetta,Abdallah,27514,919-225-9345,Orange,NC
1073,Bobbye,Rhym,94070,650-528-5783,San Mateo,CA
1074,Micaela,Rhymes,94520,925-647-3298,Contra Costa,CA
1075,Tamar,Hoogland,43140,740-343-8575,Madison,OH
1076,Moon,Parlato,14895,585-866-8313,Allegany,NY
1077,Laurel,Reitler,21215,410-520-4832,Baltimore City,MD
1078,Delisa,Crupi,7105,973-354-2040,Essex,NJ
1079,V,T,60647,773-446-5569,Cook,IL
1080,Elza,Lipke,7104,973-927-3447,Essex,NJ
1081,Devorah,Chickering,88101,505-975-8559,Curry,NM
1082,Timothy,Mulqueen,10309,718-332-6527,Richmond,NY
1083,Arlette,Honeywell,32254,904-775-4480,Duval,FL
1084,Dominque,Dickerson,94545,510-993-3758,Alameda,CA
1085,Lettie,Isenhower,44122,216-657-7668,Cuyahoga,OH
1086,Myra,Munns,76040,817-914-7518,Tarrant,TX
1087,Stephaine,Barfield,90247,310-774-7643,Los Angeles,CA
1088,Lai,Gato,60201,847-728-7286,Cook,IL
1089,Stephen,Emigh,353,330-537-5358,Summit,OH
1090,Tyra,Shields,19106,215-255-1641,Philadelphia,PA
1091,Tammara,Wardrip,94010,650-803-1936,San Mateo,CA
1092,Cory,Gibes,91776,626-572-1096,Los Angeles,CA
1093,Danica,Bruschke,76708,254-782-8569,McLennan,TX
1094,Wilda,Giguere,99501,907-870-5536,Anchorage,AK
1095,Elvera,Benimadho,95110,408-703-8505,Santa Clara,CA
1096,Carma,Vanheusen,94577,510-503-7169,Alameda,CA
1097,Malinda,Hochard,46202,317-722-5066,Marion,IN
1098,Natalie,Fern,82901,307-704-8713,Sweetwater,WY
1099,berth,harmon,22102,703-235-3937,Fairfax,VA
1100,Arlene,Klusman,70112,504-710-5840,Orleans,LA
1101,Alease,Buemi,80303,303-301-4946,Boulder,CO
1102,Louisa,Cronauer,94577,510-828-7047,Alameda,CA
1103,Angella,Cetta,96817,808-892-7943,Honolulu,HI
1104,Cyndy,Goldammer,55337,952-334-9408,Dakota,MN
1105,Rosio,Cork,27263,336-243-5659,Guilford,NC
1106,Celeste,Korando,11563,516-509-2347,Nassau,NY
1107,Twana,Felger,97224,503-939-3153,Washington,OR
1108,Estrella,Samu,53511,608-976-7199,Rock,WI
1109,Donte,Kines,1602,508-429-8576,Worcester,MA
1110,Tiffiny,Steffensmeier,33133,305-385-9695,Miami-Dade,FL
1111,Edna,Miceli,16502,814-460-2655,Erie,PA
1112,Sue,Kownacki,75149,972-666-3413,Dallas,TX
1113,Jesusa,Shin,37388,931-273-8709,Coffee,TN
1114,Rolland,Francescon,7501,973-649-2922,Passaic,NJ
1115,Pamella,Schmierer,33030,305-420-8970,Miami-Dade,FL
1116,Glory,Kulzer,21117,410-224-9462,Baltimore,MD
1117,Shawna,Palaspas,91362,805-275-3566,Ventura,CA
1118,Brandon,Callaro,96819,808-215-6832,Honolulu,HI
1119,Scarlet,Cartan,31701,229-735-3378,Dougherty,GA
1120,Oretha,Menter,2210,617-418-5043,Suffolk,MA
1121,Ty,Smith,7601,201-672-1553,Bergen,NJ
1122,Xuan,Rochin,94403,650-933-5072,San Mateo,CA
1123,Lindsey,Dilello,91761,909-639-9887,San Bernardino,CA
1124,Devora,Perez,94606,510-955-3016,Alameda,CA
