cust_id,zip,email
1001,70116,jbutt@gmail.com
1002,48116,josephine_darakjy@darakjy.org
1003,8014,art@venere.org
1004,99501,lpaprocki@hotmail.com
1005,45011,donette.foller@cox.net
1006,44805,simona@morasca.com
1007,60632,mitsue_tollner@yahoo.com
1008,95111,leota@hotmail.com
1009,57105,sage_wieser@cox.net
1010,21224,kris@gmail.com
1011,19443,minna_amigon@yahoo.com
1012,11953,amaclead@gmail.com
1013,90034,kiley.caldarera@aol.com
1014,44023,gruta@cox.net
1015,78045,calbares@gmail.com
1016,85013,mattie@aol.com
1017,37110,meaghan@hotmail.com
1018,53207,gladys.rim@rim.org
1019,48180,yuki_whobrey@aol.com
1020,61109,fletcher.flosi@yahoo.com
1021,19014,bette_nicka@cox.net
1022,95111,vinouye@aol.com
1023,75062,willard@hotmail.com
1024,12204,mroyster@royster.com
1025,8846,alisha@slusarski.com
1026,54481,allene_iturbide@cox.net
1027,66218,chanel.caudy@caudy.org
1028,21601,ezekiel@chui.com
1029,10011,wkusko@yahoo.com
1030,77301,bfigeroa@aol.com
1031,43215,ammie@corrio.com
1032,88011,francine_vocelka@vocelka.com
1033,7660,ernie_stenseth@aol.com
1034,8812,albina@glick.com
1035,10025,asergi@gmail.com
1036,70002,solange@shinko.com
1037,10011,jose@yahoo.com
1038,93012,rozella.ostrosky@ostrosky.com
1039,78204,valentine_gillian@gmail.com
1040,67410,kati.rulapaugh@hotmail.com
1041,97754,youlanda@aol.com
1042,66204,doldroyd@aol.com
1043,99708,roxane@hotmail.com
1044,33196,lperin@perin.org
1045,99712,erick.ferencz@aol.com
1046,55343,fsaylors@saylors.org
1047,2128,jina_briddick@briddick.com
1048,90006,kanisha_waycott@yahoo.com
1049,53711,emerson.bowley@bowley.org
1050,19132,bmalet@yahoo.com
1051,10003,bbolognia@yahoo.com
1052,37388,lnestle@hotmail.com
1053,29201,sabra@uyetake.org
1054,19087,mmastella@mastella.com
1055,8822,karl_klonowski@yahoo.com
1056,11590,twenner@aol.com
1057,19046,amber_monarrez@monarrez.org
1058,91405,shenika@gmail.com
1059,2909,delmy.ahle@hotmail.com
1060,19006,deeanna_juhas@gmail.com
1061,2904,bpugh@aol.com
1062,8831,jamal@vanausdal.org
1063,78731,cecily@hollack.org
1064,80126,carmelina_lindall@lindall.com
1065,53214,maurine_yglesias@yglesias.com
1066,10009,tawna@gmail.com
1067,99515,penney_weight@aol.com
1068,16502,elly_morocco@gmail.com
1069,21061,ilene.eroman@hotmail.com
1070,83707,vmondella@mondella.com
1071,94104,kallie.blackwood@gmail.com
1072,27514,johnetta_abdallah@aol.com
1073,94070,brhym@rhym.com
1074,94520,micaela_rhymes@gmail.com
1075,43140,tamar@hotmail.com
1076,14895,moon@yahoo.com
1077,21215,laurel_reitler@reitler.com
1078,7105,delisa.crupi@crupi.com
1079,60647,viva.toelkes@gmail.com
1080,7104,elza@yahoo.com
1081,88101,devorah@hotmail.com
1082,10309,timothy_mulqueen@mulqueen.org
1083,32254,ahoneywell@honeywell.com
1084,94545,dominque.dickerson@dickerson.org
1085,44122,lettie_isenhower@yahoo.com
1086,76040,mmunns@cox.net
1087,90247,stephaine@barfield.com
1088,60201,lai.gato@gato.org
1089,44302,stephen_emigh@hotmail.com
1090,19106,tshields@gmail.com
1091,94010,twardrip@cox.net
1092,91776,cory.gibes@gmail.com
1093,76708,danica_bruschke@gmail.com
1094,99501,wilda@cox.net
1095,95110,elvera.benimadho@cox.net
1096,94577,carma@cox.net
1097,46202,malinda.hochard@yahoo.com
1098,82901,natalie.fern@hotmail.com
1099,22102,lisha@centini.org
