cust_id,first_name,last_name,zip,phone1
1001,James,Butt,70116,504-621-8927
1002,Josephine,Darakjy,48116,810-292-9388
1003,Art,Venere,8014,856-636-8749
1004,Lenna,Paprocki,99501,907-385-4412
1005,Donette,Foller,45011,513-570-1893
1006,Simona,Morasca,44805,419-503-2484
1007,Mitsue,Tollner,60632,773-573-6914
1008,Leota,Dilliard,95111,408-752-3500
1009,Sage,Wieser,57105,605-414-2147
1010,Kris,Marrier,21224,410-655-8723
1011,Minna,Amigon,19443,215-874-1229
1012,Abel,Maclead,11953,631-335-3414
1013,Kiley,Caldarera,90034,310-498-5651
1014,Graciela,Ruta,44023,440-780-84
1015,Cammy,Albares,78045,956-537-6195
1016,Mattie,Poquette,85013,602-277-4385
1017,Meaghan,Garufi,37110,931-313-9635
1018,Gladys,Rim,53207,414-661-9598
1019,Yuki,Whobrey,48180,313-288-7937
1020,Fletcher,Flosi,61109,815-828-2147
1021,Bette,Nicka,19014,610-545-3615
1022,Veronika,Inouye,95111,408-540-1785
1023,Willard,Kolmetz,75062,972-303-9197
1024,Maryann,Royster,12204,518-966-7987
1025,Alisha,Slusarski,8846,732-658-3154
1026,Allene,Iturbide,54481,715-662-6764
1027,Chanel,Caudy,66218,913-388-2079
1028,Ezekiel,Chui,21601,410-669-1642
1029,Willow,Kusko,10011,212-582-4976
1030,Bernardo,Figeroa,77301,936-336-3951
1031,Ammie,Corrio,43215,614-801-9788
1032,Francine,Vocelka,88011,505-977-3911
1033,Ernie,Stenseth,7660,201-709-6245
1034,Albina,Glick,8812,732-924-7882
1035,Alishia,Sergi,10025,212-860-1579
1036,Solange,Shinko,70002,504-979-9175
1037,Jose,Stockham,10011,212-675-8570
1038,Rozella,Ostrosky,93012,805-832-63
1039,Valentine,Gillian,78204,210-812-9597
1040,Kati,Rulapaugh,67410,785-463-7829
1041,Youlanda,Schemmer,97754,541-548-8197
1042,Dyan,Oldroyd,66204,913-413-4604
1043,Roxane,Campain,99708,907-231-4722
1044,Lavera,Perin,33196,305-606-7291
1045,Erick,Ferencz,99712,907-741-1044
1046,Fatima,Saylors,55343,952-768-2416
1047,Jina,Briddick,2128,617-399-5124
1048,Kanisha,Waycott,90006,323-453-2780
1049,Emerson,Bowley,53711,608-336-7444
1050,Blair,Malet,19132,215-907-9111
1051,Brock,Bolognia,10003,212-402-9216
1052,Lorrie,Nestle,37388,931-875-6644
1053,Sabra,Uyetake,29201,803-925-5213
1054,Marjory,Mastella,19087,610-814-5533
1055,Karl,Klonowski,8822,908-877-6135
1056,Tonette,Wenner,11590,516-968-6051
1057,Amber,Monarrez,19046,215-934-8655
1058,Shenika,Seewald,91405,818-423-4007
1059,Delmy,Ahle,2909,401-458-27
1060,Deeanna,Juhas,19006,215-211-9589
1061,Blondell,Pugh,2904,401-960-8259
1062,Jamal,Vanausdal,8831,732-234-1546
1063,Cecily,Hollack,78731,512-486-3817
1064,Carmelina,Lindall,80126,303-724-7371
1065,Maurine,Yglesias,53214,414-748-1374
1066,Tawna,Buvens,10009,212-674-9610
1067,Penney,Weight,99515,907-797-9628
1068,Elly,Morocco,16502,814-393-5571
1069,Ilene,Eroman,21061,410-914-9018
1070,Vallie,Mondella,83707,208-862-5339
