,cust_id,Correct_Phone_no
0,1001,504-621-8927
1,1002,810-292-9388
2,1003,856-636-8749
3,1004,907-385-4412
4,1005,513-570-1893
5,1006,419-503-2484
6,1007,773-573-6914
7,1008,408-752-3500
8,1009,605-414-2147
9,1010,410-655-8723
10,1011,215-874-1229
11,1012,631-335-3414
12,1013,310-498-5651
13,1015,956-537-6195
14,1016,602-277-4385
15,1017,931-313-9635
16,1018,414-661-9598
17,1019,313-288-7937
18,1020,815-828-2147
19,1021,610-545-3615
20,1022,408-540-1785
21,1023,972-303-9197
22,1024,518-966-7987
23,1025,732-658-3154
24,1026,715-662-6764
25,1027,913-388-2079
26,1028,410-669-1642
27,1029,212-582-4976
28,1030,936-336-3951
29,1031,614-801-9788
30,1032,505-977-3911
31,1033,201-709-6245
32,1034,732-924-7882
33,1035,212-860-1579
34,1036,504-979-9175
35,1037,212-675-8570
36,1040,785-463-7829
37,1041,541-548-8197
38,1042,913-413-4604
39,1043,907-231-4722
40,1044,305-606-7291
41,1045,907-741-1044
42,1046,952-768-2416
43,1047,617-399-5124
44,1048,323-453-2780
45,1049,608-336-7777
46,1050,215-907-9111
47,1051,212-402-9216
48,1052,931-875-6644
49,1053,803-925-5213
50,1054,610-814-5533
51,1055,908-877-6135
52,1056,516-968-6051
53,1057,215-934-8655
54,1058,818-423-4007
55,1060,215-211-9589
56,1061,401-960-8259
57,1062,732-234-1546
58,1063,512-486-3817
59,1064,303-724-7371
60,1065,414-748-1374
61,1066,212-674-9610
62,1067,907-797-9628
63,1068,814-393-5571
64,1069,410-914-9018
65,1070,208-862-5339
66,1071,415-315-2761
67,1072,919-225-9345
68,1073,650-528-5783
69,1074,925-647-3298
70,1075,740-343-8575
71,1076,585-866-8313
72,1077,410-520-4832
73,1078,973-354-2040
74,1079,773-446-5569
75,1080,973-927-3447
76,1081,505-975-8559
77,1082,718-332-6527
78,1083,904-775-4480
79,1084,510-993-3758
80,1085,216-657-7668
81,1086,817-914-7518
82,1087,310-774-7643
83,1088,847-728-7286
84,1089,330-537-5358
85,1090,215-255-1641
86,1091,650-803-1936
87,1092,626-572-1096
88,1093,254-782-8569
89,1094,907-870-5536
90,1095,408-703-8505
91,1096,510-503-7169
92,1097,317-722-5066
93,1098,307-704-8713
94,1099,703-235-3937
95,1100,504-710-5840
96,1101,303-301-4946
97,1102,510-828-7047
98,1103,808-892-7943
99,1104,952-334-9408
100,1105,336-243-5659
101,1106,516-509-2347
102,1107,503-939-3153
103,1108,608-976-7199
104,1109,508-429-8576
105,1110,305-385-9695
106,1111,814-460-2655
107,1112,972-666-3413
108,1113,931-273-8709
109,1114,973-649-2922
110,1115,305-420-8970
111,1116,410-224-9462
112,1117,805-275-3566
113,1118,808-215-6832
114,1119,229-735-3378
115,1120,617-418-5043
116,1121,201-672-1553
117,1122,650-933-5072
118,1123,909-639-9887
119,1124,510-955-3016
120,1125,518-497-2940
121,1126,570-867-7489
122,1127,973-245-2133
123,1128,908-409-2890
124,1129,321-749-4981
125,1130,718-809-3762
126,1131,808-315-3077
127,1132,303-623-4241
128,1133,973-310-1634
129,1134,609-524-3586
130,1135,908-877-8409
131,1136,508-584-4279
132,1137,773-775-4522
133,1138,503-527-5274
134,1139,214-339-1809
135,1140,312-303-5453
136,1141,419-939-3613
137,1142,951-645-3605
138,1143,254-463-4368
139,1144,615-406-7854
140,1145,414-959-2540
141,1146,410-387-5260
142,1147,972-934-6914
143,1148,310-560-8022
144,1149,516-948-5768
145,1150,609-518-7697
146,1151,513-508-7371
147,1152,541-326-4074
148,1153,919-533-3762
149,1154,212-332-8435
150,1155,602-906-9419
151,1156,317-234-1135
152,1157,315-304-4759
153,1158,856-487-5412
154,1159,516-212-1915
155,1160,501-308-1040
156,1161,651-591-2583
157,1162,215-325-3042
158,1163,985-890-7262
159,1164,631-957-7624
160,1165,916-591-3277
161,1166,208-649-2373
162,1167,512-587-5746
163,1168,215-964-3284
164,1169,808-477-4775
165,1170,775-501-8109
166,1171,847-979-9545
167,1172,973-545-7355
168,1173,864-256-3620
169,1174,410-209-9545
170,1175,914-855-2115
171,1176,212-260-3151
172,1177,510-677-9785
173,1178,978-697-6263
174,1179,415-767-6596
175,1180,201-971-1638
176,1181,925-634-7158
177,1182,773-494-4195
178,1183,973-943-3423
179,1184,419-544-4900
180,1185,310-579-2907
181,1186,352-242-2570
182,1187,408-758-5015
183,1188,570-889-5187
184,1189,201-588-7810
185,1190,925-615-5185
186,1191,908-802-3564
187,1192,631-748-6479
188,1193,805-690-1682
189,1194,908-275-8357
190,1195,503-940-8327
191,1196,503-516-2189
192,1197,856-305-9731
193,1198,770-507-8791
194,1199,904-235-3633
195,1200,207-458-9196
196,1201,817-765-5781
197,1202,716-752-4114
198,1203,305-670-9628
199,1204,212-313-1783
200,1205,215-605-7570
201,1206,850-430-1663
202,1207,415-306-7897
203,1208,408-504-3552
204,1209,650-947-1215
