,cust_id,Correct_Phone_no
0,1001,504-621-8927
1,1002,810-292-9388
2,1003,856-636-8749
3,1004,907-385-4412
4,1005,513-570-1893
5,1006,419-503-2484
6,1007,773-573-6914
7,1008,408-752-3500
8,1009,605-414-2147
9,1010,410-655-8723
10,1011,215-874-1229
11,1012,631-335-3414
12,1013,310-498-5651
13,1015,956-537-6195
14,1016,602-277-4385
15,1017,931-313-9635
16,1018,414-661-9598
17,1019,313-288-7937
18,1020,815-828-2147
19,1021,610-545-3615
20,1022,408-540-1785
21,1023,972-303-9197
22,1024,518-966-7987
23,1025,732-658-3154
24,1026,715-662-6764
25,1027,913-388-2079
26,1028,410-669-1642
27,1029,212-582-4976
28,1030,936-336-3951
29,1031,614-801-9788
30,1032,505-977-3911
31,1033,201-709-6245
32,1034,732-924-7882
33,1035,212-860-1579
34,1036,504-979-9175
35,1037,212-675-8570
36,1039,210-812-9597
37,1040,785-463-7829
38,1041,541-548-8197
39,1042,913-413-4604
40,1043,907-231-4722
41,1044,305-606-7291
42,1045,907-741-1044
43,1046,952-768-2416
44,1047,617-399-5124
45,1048,323-453-2780
46,1049,608-336-7444
47,1050,215-907-9111
48,1051,212-402-9216
49,1052,931-875-6644
50,1053,803-925-5213
51,1054,610-814-5533
52,1055,908-877-6135
53,1056,516-968-6051
54,1057,215-934-8655
55,1058,818-423-4007
56,1060,215-211-9589
57,1061,401-960-8259
58,1062,732-234-1546
59,1063,512-486-3817
60,1064,303-724-7371
61,1065,414-748-1374
62,1066,212-674-9610
63,1067,907-797-9628
64,1068,814-393-5571
65,1069,410-914-9018
66,1070,208-862-5339
67,1071,415-315-2761
68,1072,919-225-9345
69,1073,650-528-5783
70,1074,925-647-3298
71,1075,740-343-8575
72,1076,585-866-8313
73,1077,410-520-4832
74,1078,973-354-2040
75,1079,773-446-5569
76,1080,973-927-3447
77,1081,505-975-8559
78,1082,718-332-6527
79,1083,904-775-4480
80,1084,510-993-3758
81,1085,216-657-7668
82,1086,817-914-7518
83,1087,310-774-7643
84,1088,847-728-7286
85,1089,330-537-5358
86,1090,215-255-1641
87,1091,650-803-1936
88,1092,626-572-1096
89,1093,254-782-8569
90,1094,907-870-5536
91,1095,408-703-8505
92,1096,510-503-7169
93,1097,317-722-5066
94,1098,307-704-8713
95,1099,703-235-3937
