,cust_id,first_name,last_name,name,company_name,address_1,address_2,city,country,state,zip,phone1,phone2,email,web,scores,outliers
0,1001,James,Butt,0.0,"Benton,        John ",6649 N Blue Gum St$$,0.0,New Orleans,Orleans,LA,70116.0,504-621-8927,504-845-1427,jbutt@gmail.com,http://www.bentonjohnbjr.com,-0.03664183338518945,-1
1,1002,Josephine,Darakjy,0.0,"Chanay, Jeffrey A Esq         ",4 B Blue Ridge Blvd,0.0,Brighton,Livingston,MI,48116.0,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com,-0.001442231286492901,-1
2,1003,Art,Venere,0.0,"Chemel, James L Cpa",8 W Cerritos Ave #54,0.0,Bridgeport,Gloucester,NJ476,8014.0,856-636-8749,856-264-4130,art@venere.org,http://www.chemeljameslcpa.com,-0.013822078821458694,-1
3,1004,Lenna,Paprocki,0.0,Feltz Printing Service,639 Main St$$,0.0,Anchorage,Anchorage,AK,99501.0,907-385-4412,907-921-2010,lpaprocki@hotmail.com,http://www.feltzprintingservice.com,-0.04240304862065358,-1
6,1007,Mitsue,Tollner,0.0,,7 Eads St,0.0,Chicago,Cook,IL,60632.0,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,http://www.morlongassociates.com,-0.0031401480302648554,-1
9,1010,Kris,Marrier,0.0,"King, Christopher A Esq      ",228 Runamuck Pl #2808,0.0,Baltimore,Baltimore City,MD,21224.0,410-655-8723,410-804-4694,kris@gmail.com,http://www.kingchristopheraesq.com,-0.006452354701253715,-1
10,1011,Minna,Amigon,0.0,"Dorl, James J Esq",2371 Jerrold Ave,0.0,Kulpsville,Montgomery,PA,19443.0,215-874-1229,215-422-8694,minna_amigon@yahoo.com,http://www.dorljamesjesq.com,-0.0029238737577135243,-1
11,1012,Abel,Maclead,0.0,Rangoni Of Florence,37275 St  Rt 17m M,0.0,Middle Island,Suffolk,NY,11953.0,631-335-3414,631-677-3675,amaclead@gmail.com,http://www.rangoniofflorence.com,-0.008321547230109916,-1
12,1013,Kiley,Caldarera,0.0,,25 E 75th St #69,0.0,Los Angeles,Los Angeles,CA,90034.0,310-498-5651,310-254-3084,kiley.caldarera@aol.com,http://www.feinerbros.com,-0.004989036779664113,-1
42,1043,Roxane,Campain,0.0,Rapid Trading Intl,1048 Main St,0.0,Fairbanks,Fairbanks North Star,AK,99708.0,907-231-4722,907-335-6568,roxane@hotmail.com,http://www.rapidtradingintl.com,-0.0056577909031122475,-1
